"Time Period","Observation Value","Disaggregation classification","Reference Area Code (M49)","Time Detail","Nature of Data","Unit of Measurement","Reporting Type","Source","Reference Area Type","Reference Area Name"
1985,400.529538289602,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1985,449.662748438131,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1985,504.79803712444,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1986,390.760572740818,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1986,436.106111695514,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1986,486.402795454364,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1987,383.277763566749,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1987,425.301927467849,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1987,471.702314760012,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1988,376.1049039611,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1988,414.855500563206,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1988,457.602930489831,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1989,370.571645278089,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1989,406.620387492755,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1989,445.547153970086,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1990,365.584551730911,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1990,398.701884023408,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1990,435.076344731934,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1991,360.680209730656,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1991,391.702991782811,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1991,425.818095967469,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1992,356.778443782092,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1992,385.663680977319,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1992,416.711508975391,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1993,354.687494225681,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1993,382.155980907347,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1993,411.369401996614,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1994,352.518619700985,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1994,377.734527475806,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1994,405.773662671813,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1995,348.28608975192,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1995,372.539008322602,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1995,399.336802676395,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1996,344.768434615165,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1996,367.680580773532,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1996,393.348102287402,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1997,340.836781822831,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1997,362.494534672952,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1997,387.009854381124,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1998,336.789276592527,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1998,357.512185120865,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1998,381.280301032055,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1999,333.207607667112,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1999,353.09861892873,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
1999,375.741084044698,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2000,327.105713139383,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2000,346.406503077555,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2000,367.867371999588,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2001,320.486865573071,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2001,338.829900566585,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2001,359.032028486185,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2002,313.763250309103,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2002,331.405138126589,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2002,350.54945736836,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2003,306.212594725989,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2003,323.16444752263,"Uncertainty bounds: mid-point",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2003,341.508145447913,"Uncertainty bounds: upper bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
2004,296.906104761778,"Uncertainty bounds: lower bound",1,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","1.0-Global","World"
